"goingout","gender","age","country","state","X100grandbar","maryjanes","blackjacks","bonkers","bottlecaps","butterfinger","cadburycremeeggs","candycorn","caramellos","chickosticks","chiclets","coffeecrisp","dots","googooclusters","goodplenty","gummybears","heathbar","hersheysdarkchocolate","hersheysmilkchocolate","hersheyskisses","jollyranchers","almondjoy","juniormints","kinderhappyhippo","kitkat","laffytaffy","lemonhead","redlicorice","blacklicorice","lindttruffle","lollipops","mars","maynards","mikeike","milkduds","milkyway","mms","peanutbuttermms","hersheysmintkisses","mrgoodbar","neccowafers","nerds","crunchbar","nowlater","peeps","pixiesticks","reesespeanutbuttercup","reesespieces","reggiejacksonbar","rolos","skittles","americansmarties","europeansmarties","snickers","sourpatchkids","starburst","sweettarts","swedishfish","sweetumsafriendtodiabetes","take5","tictacs","X3musketeers","tolberone","trailmix","twix","yorkpeppermintpatties"
"No","Female",40,"USA","IL","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","DESPAIR"
"Yes","Male",38,"USA","WI","MEH","JOY","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","MEH","MEH","JOY","MEH","JOY","JOY"
"No","Female",23,"USA","MO","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","JOY","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","JOY","JOY"
"No","Male",47,"USA","IL","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","JOY"
"No","Male",42,"USA","GA","MEH","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH"
"Yes","Female",38,"USA","MO","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR"
"No","Male",41,"USA","CO","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","MEH","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","JOY","JOY"
"No","Male",41,"USA","CALIFORNIA","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY"
"No","Male",45,"USA","FL","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","JOY","JOY"
"No","Female",45,"USA","MA","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","MEH"
"No","Male",51,"USA","MO","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","MEH","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","MEH"
"No","Male",38,"USA","CO","JOY","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Male",37,"USA","CALIFORNIA","JOY","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","JOY","JOY"
"No","Female",58,"USA","CALIFORNIA","MEH","DESPAIR","MEH","MEH","JOY","MEH","MEH","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY"
"Yes","Female",36,"USA","CO","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","JOY","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY"
"No","Female",49,"USA","CALIFORNIA","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","MEH","JOY","MEH","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","MEH"
"No","Male",35,"USA","CALIFORNIA","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY"
"Yes","Female",51,"USA","CALIFORNIA","MEH","MEH","DESPAIR","MEH","JOY","JOY","MEH","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","MEH","MEH","JOY","JOY","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY"
"No","Female",34,"USA","NY","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY"
"Yes","Female",48,"USA","WY","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY"
"No","Female",32,"USA","NJ","JOY","MEH","DESPAIR","MEH","JOY","MEH","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","JOY","MEH","MEH","DESPAIR","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","DESPAIR","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Female",34,"CANADA","QC","JOY","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","DESPAIR","JOY","MEH","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","JOY","MEH","JOY","MEH"
"No","Female",34,"USA","MA","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","MEH","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY"
"No","Female",44,"USA","CO","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","MEH","MEH","JOY","MEH","MEH","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","JOY"
"No","Male",33,"USA","CO","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","JOY","JOY","MEH","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH"
"No","Female",40,"USA","CA","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY"
"No","Female",47,"CANADA","BC","JOY","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR"
"No","Female",46,"USA","WA","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Male",40,"USA","CALIFORNIA","JOY","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY"
"Yes","Female",33,"USA","CALIFORNIA","MEH","JOY","MEH","MEH","JOY","JOY","MEH","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY"
"No","Other",17,"ICELAND","","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY"
"No","Female",49,"USA","WA","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","JOY","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH","JOY","JOY","MEH","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Male",27,"USA","CALIFORNIA","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","JOY","MEH"
"No","Male",31,"CANADA","ON","MEH","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Female",54,"USA","MT","JOY","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","MEH","JOY","MEH","MEH","MEH","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","MEH","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY"
"No","Female",33,"SCOTLAND","STRATHCLYDE","MEH","MEH","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","JOY","JOY","MEH","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","MEH","MEH","MEH","JOY","DESPAIR","JOY","MEH"
"No","Male",54,"USA","CALIFORNIA","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","DESPAIR","JOY","MEH","JOY","MEH","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY"
"No","Female",30,"CANADA","ON","MEH","MEH","MEH","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","JOY"
"No","Female",27,"USA","KS","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY"
"No","Male",52,"USA","CA","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY"
"Yes","Female",35,"USA","CA","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","JOY","JOY","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY"
